airbnb_id,nbh_id,host_id,lat,lon,city,state,night_price,cleaning_fee,nights_booked,rental_income,property_type,room_count,bed_count,max_capacity,star_rating,total_reviews,date_created,date_updated
27871685,271352,19071085,29.4315,-98.4762,San Antonio,TX,80.0,35,208,1387,Apartment,1,2,4,5,228,2020-10-30,2020-10-30
27871784,271352,19292690,29.4309,-98.4749,San Antonio,TX,129.0,95,142,1527,House,2,3,6,5,91,2020-10-30,2020-10-30
27871795,271352,19415227,29.4302,-98.4766,San Antonio,TX,320.0,190,153,4080,House,7,9,16,5,116,2020-10-30,2020-10-30
27871879,271352,19677154,29.4149,-98.4915,San Antonio,TX,139.0,80,150,1738,Guesthouse,2,4,5,5,195,2020-10-30,2020-10-30
27871908,271352,19679572,29.4161,-98.4912,San Antonio,TX,108.0,35,165,1485,Guest suite,0,1,2,0,215,2020-10-30,2020-10-30
27871751,271352,20232972,29.4159,-98.4863,San Antonio,TX,199.0,99,86,1556,Townhouse,2,2,6,5,65,2020-10-30,2020-10-30
27871735,271352,20406135,29.4364,-98.4893,San Antonio,TX,96.0,80,236,1888,House,3,4,7,5,123,2020-10-30,2020-10-30
27871825,271352,20525824,29.434,-98.4734,San Antonio,TX,75.0,75,221,1381,House,2,3,5,5,62,2020-10-30,2020-10-30
27871732,271352,20650691,29.4367,-98.4882,San Antonio,TX,56.0,15,133,621,Apartment,0,1,3,5,194,2020-10-30,2020-10-30
27871773,271352,20874689,29.4208,-98.4745,San Antonio,TX,76.0,39,288,1824,Apartment,1,2,4,5,243,2020-10-30,2020-10-30
27871839,271352,21081222,29.4148,-98.4754,San Antonio,TX,123.0,85,127,1302,House,3,4,6,5,204,2020-10-30,2020-10-30
27871875,271352,21435082,29.4375,-98.4876,San Antonio,TX,49.0,15,208,849,Apartment,0,2,3,5,267,2020-10-30,2020-10-30
27871821,271352,21491664,29.4314,-98.4732,San Antonio,TX,258.0,164,163,3505,House,4,4,10,5,115,2020-10-30,2020-10-30
27871905,271352,21552396,29.4143,-98.4927,San Antonio,TX,381.0,130,149,4731,House,3,4,10,5,119,2020-10-30,2020-10-30
27871757,271352,21801573,29.4161,-98.4878,San Antonio,TX,125.0,65,164,1708,Bungalow,3,4,8,5,205,2020-10-30,2020-10-30
27871856,271352,21945934,29.4144,-98.4869,San Antonio,TX,97.0,40,277,2239,Guesthouse,1,1,4,5,198,2020-10-30,2020-10-30
27871634,271352,21979958,29.4113,-98.5015,San Antonio,TX,88.0,150,143,1049,Loft,2,2,4,5,5,2020-10-30,2020-10-30
27871810,271352,22017396,29.4291,-98.4735,San Antonio,TX,60.0,40,135,675,Guest suite,1,1,3,5,146,2020-10-30,2020-10-30
27871629,271352,22030838,29.409,-98.4803,San Antonio,TX,345.0,125,97,2789,House,3,4,10,5,51,2020-10-30,2020-10-30
27871859,271352,22096721,29.4157,-98.4937,San Antonio,TX,75.0,60,211,1319,Guesthouse,1,1,2,5,193,2020-10-30,2020-10-30
27871949,271352,22161091,29.4324,-98.4748,San Antonio,TX,78.0,40,304,1976,Guesthouse,0,1,2,5,217,2020-10-30,2020-10-30
27871867,271352,22190806,29.4375,-98.4876,San Antonio,TX,52.0,28,165,715,Apartment,1,2,4,5,130,2020-10-30,2020-10-30
27871960,271352,22359181,29.4289,-98.4751,San Antonio,TX,95.0,50,111,879,Condominium,2,2,4,5,140,2020-10-30,2020-10-30
27871968,271352,22377658,29.4309,-98.4733,San Antonio,TX,72.0,90,233,1398,Guest suite,2,0,4,5,119,2020-10-30,2020-10-30
27871978,271352,22796540,29.4257,-98.4708,San Antonio,TX,293.0,164,200,4883,House,4,4,12,5,100,2020-10-30,2020-10-30
27871722,271352,22903286,29.4334,-98.4891,San Antonio,TX,66.0,129,261,1436,Apartment,1,1,2,5,40,2020-10-30,2020-10-30
27871962,271352,23305775,29.4287,-98.4699,San Antonio,TX,51.0,50,308,1309,Guest suite,0,1,2,5,178,2020-10-30,2020-10-30
27871676,271352,23338272,29.4106,-98.5015,San Antonio,TX,73.0,0,365,2220,Loft,1,1,2,5,15,2020-10-30,2020-10-30
27871720,271352,23357244,29.4328,-98.4711,San Antonio,TX,209.0,90,120,2280,House,3,5,10,5,56,2020-10-30,2020-10-30
27871668,271352,23436469,29.4341,-98.5016,San Antonio,TX,61.0,35,265,1347,Apartment,1,2,4,5,152,2020-10-30,2020-10-30
27871645,271352,23508864,29.4202,-98.4913,San Antonio,TX,302.0,145,105,2643,House,3,3,8,5,54,2020-10-30,2020-10-30
27877157,275804,10056655,29.4062,-98.4751,San Antonio,TX,130.0,95,65,704,House,3,3,10,5,325,2020-10-30,2020-10-30
27877150,275804,12105587,29.4498,-98.4724,San Antonio,TX,105.0,25,63,551,Apartment,2,2,4,5,176,2020-10-30,2020-10-30
27877155,275804,13558426,29.4598,-98.4624,San Antonio,TX,57.0,20,118,561,Guest suite,1,2,2,5,141,2020-10-30,2020-10-30
27877234,275804,14519748,29.4167,-98.4704,San Antonio,TX,72.0,65,275,1650,House,2,4,6,5,145,2020-10-30,2020-10-30
27877184,275804,14772953,29.4201,-98.461,San Antonio,TX,70.0,60,139,811,House,4,5,10,5,140,2020-10-30,2020-10-30
27877194,275804,14883992,29.4164,-98.4744,San Antonio,TX,153.0,50,230,2933,House,3,5,9,5,305,2020-10-30,2020-10-30
27877192,275804,1570838,29.4174,-98.4698,San Antonio,TX,104.0,100,48,416,Villa,2,2,4,5,91,2020-10-30,2020-10-30
27877153,275804,16206873,29.4151,-98.4702,San Antonio,TX,150.0,10,22,275,House,3,3,5,4,33,2020-10-30,2020-10-30
27877190,275804,16554393,29.4143,-98.4554,San Antonio,TX,82.0,80,180,1230,Bungalow,2,3,5,5,138,2020-10-30,2020-10-30
27877137,275804,16789916,29.4117,-98.4548,San Antonio,TX,179.0,90,118,1760,House,3,5,10,5,143,2020-10-30,2020-10-30
27877187,275804,16916530,29.4146,-98.46,San Antonio,TX,71.0,60,171,1012,House,3,8,13,5,103,2020-10-30,2020-10-30
27877189,275804,17007828,29.4159,-98.4753,San Antonio,TX,138.0,50,188,2162,House,3,5,10,5,273,2020-10-30,2020-10-30
27877145,275804,17014555,29.4767,-98.4631,San Antonio,TX,143.0,50,306,3647,House,4,5,6,5,52,2020-10-30,2020-10-30
27877132,275804,17381884,29.4308,-98.4673,San Antonio,TX,148.0,80,150,1850,House,3,4,8,5,131,2020-10-30,2020-10-30
27877158,275804,17387531,29.41,-98.4707,San Antonio,TX,97.0,50,195,1576,House,2,3,5,5,351,2020-10-30,2020-10-30
27877159,275804,17708400,29.4073,-98.4748,San Antonio,TX,97.0,50,184,1487,House,2,2,5,5,335,2020-10-30,2020-10-30
27877142,275804,17764083,29.4172,-98.4754,San Antonio,TX,127.0,80,105,1212,House,3,3,4,5,83,2020-10-30,2020-10-30
27877168,275804,17766109,29.4228,-98.471,San Antonio,TX,91.0,35,321,2434,House,1,1,4,5,308,2020-10-30,2020-10-30
27877181,275804,17963987,29.4408,-98.4669,San Antonio,TX,100.0,35,268,2233,House,2,4,4,5,168,2020-10-30,2020-10-30
27877180,275804,18019817,29.4409,-98.4669,San Antonio,TX,67.0,25,227,1267,Apartment,1,2,3,5,112,2020-10-30,2020-10-30
27877191,275804,1802005,29.4173,-98.4698,San Antonio,TX,129.0,100,35,376,Villa,3,3,6,5,154,2020-10-30,2020-10-30
27877156,275804,18348227,29.441,-98.4557,San Antonio,TX,99.0,65,275,2269,House,3,3,6,5,211,2020-10-30,2020-10-30
27877188,275804,18657203,29.4419,-98.4716,San Antonio,TX,264.0,149,142,3124,House,3,6,10,5,156,2020-10-30,2020-10-30
27877166,275804,18776621,29.4288,-98.472,San Antonio,TX,45.0,0,258,968,Apartment,1,1,2,5,14,2020-10-30,2020-10-30
27877179,275804,1883124,29.4174,-98.4698,San Antonio,TX,128.0,100,29,309,Villa,3,3,6,5,150,2020-10-30,2020-10-30
27877167,275804,19196614,29.4321,-98.4678,San Antonio,TX,69.0,40,206,1185,Guesthouse,1,1,2,5,165,2020-10-30,2020-10-30
27877164,275804,19292690,29.4309,-98.4749,San Antonio,TX,129.0,95,142,1527,House,2,3,6,5,91,2020-10-30,2020-10-30
27877178,275804,19494083,29.4564,-98.4586,San Antonio,TX,77.0,60,235,1508,Apartment,3,4,9,5,82,2020-10-30,2020-10-30
27877182,275804,19891284,29.4638,-98.4626,San Antonio,TX,119.0,97,247,2449,Bungalow,2,4,5,5,150,2020-10-30,2020-10-30
27877172,275804,20525824,29.434,-98.4734,San Antonio,TX,75.0,75,221,1381,House,2,3,5,5,62,2020-10-30,2020-10-30
27877144,275804,20579639,29.4563,-98.4592,San Antonio,TX,103.0,60,224,1923,Apartment,3,4,9,5,79,2020-10-30,2020-10-30
27877161,275804,20777737,29.4077,-98.4679,San Antonio,TX,113.0,105,219,2062,House,3,4,7,5,148,2020-10-30,2020-10-30
27877162,275804,20874689,29.4208,-98.4745,San Antonio,TX,76.0,39,288,1824,Apartment,1,2,4,5,243,2020-10-30,2020-10-30
27877176,275804,21081222,29.4148,-98.4754,San Antonio,TX,123.0,85,127,1302,House,3,4,6,5,204,2020-10-30,2020-10-30
27877175,275804,21154886,29.4395,-98.4669,San Antonio,TX,45.0,41,130,1170,Apartment,1,1,2,5,217,2020-10-30,2020-10-30
27877185,275804,21167426,29.4574,-98.4585,San Antonio,TX,82.0,60,264,1804,Apartment,3,4,8,5,67,2020-10-30,2020-10-30
27877174,275804,21191584,29.4313,-98.4678,San Antonio,TX,117.0,55,147,1433,House,2,2,5,5,120,2020-10-30,2020-10-30
27877171,275804,21491664,29.4314,-98.4732,San Antonio,TX,258.0,164,163,3505,House,4,4,10,5,115,2020-10-30,2020-10-30
27877222,275804,21562741,29.4419,-98.4563,San Antonio,TX,63.0,30,278,1460,House,1,1,4,5,66,2020-10-30,2020-10-30
27877170,275804,22017396,29.4291,-98.4735,San Antonio,TX,60.0,40,135,675,Guest suite,1,1,3,5,146,2020-10-30,2020-10-30
27877195,275804,22161091,29.4324,-98.4748,San Antonio,TX,78.0,40,304,1976,Guesthouse,0,1,2,5,217,2020-10-30,2020-10-30
27877198,275804,22359181,29.4289,-98.4751,San Antonio,TX,95.0,50,111,879,Condominium,2,2,4,5,140,2020-10-30,2020-10-30
27877214,275804,22377658,29.4309,-98.4733,San Antonio,TX,72.0,90,233,1398,Guest suite,2,0,4,5,119,2020-10-30,2020-10-30
27877127,275804,22704880,29.4617,-98.4633,San Antonio,TX,109.0,75,256,2325,House,3,5,5,5,149,2020-10-30,2020-10-30
27877138,275804,22781920,29.4051,-98.3955,San Antonio,TX,176.0,155,113,1657,House,3,4,6,5,5,2020-10-30,2020-10-30
27877231,275804,22796540,29.4257,-98.4708,San Antonio,TX,293.0,164,200,4883,House,4,4,12,5,100,2020-10-30,2020-10-30
27877148,275804,22909283,29.4014,-98.4649,San Antonio,TX,152.0,150,244,3091,House,3,4,8,5,42,2020-10-30,2020-10-30
27877228,275804,23006210,29.4552,-98.4571,San Antonio,TX,87.0,50,256,1856,House,3,2,4,5,170,2020-10-30,2020-10-30
27877202,275804,23305775,29.4287,-98.4699,San Antonio,TX,51.0,50,308,1309,Guest suite,0,1,2,5,178,2020-10-30,2020-10-30
27877154,275804,23357244,29.4328,-98.4711,San Antonio,TX,209.0,90,120,2280,House,3,5,10,5,56,2020-10-30,2020-10-30
27877143,275804,23498641,29.399,-98.4484,San Antonio,TX,80.0,50,142,947,Tiny house,1,1,3,5,84,2020-10-30,2020-10-30
27877141,275804,23521223,29.4165,-98.4747,San Antonio,TX,145.0,100,135,1631,House,3,6,9,5,72,2020-10-30,2020-10-30
27877149,275804,23632931,29.4315,-98.4714,San Antonio,TX,79.0,0,199,1310,Guesthouse,1,0,2,5,163,2020-10-30,2020-10-30
27877152,275804,23669261,29.4578,-98.4577,San Antonio,TX,95.0,60,293,2320,Apartment,3,4,9,5,42,2020-10-30,2020-10-30
27877124,275804,23703260,29.4394,-98.4756,San Antonio,TX,124.0,95,213,2201,Condominium,2,2,4,5,9,2020-10-30,2020-10-30
27877238,275804,23781633,29.4557,-98.4681,San Antonio,TX,73.0,40,174,1059,Apartment,1,1,4,5,98,2020-10-30,2020-10-30
27877240,275804,23789564,29.4714,-98.4378,San Antonio,TX,89.0,50,309,2292,Apartment,3,4,5,5,126,2020-10-30,2020-10-30
27877225,275804,23818317,29.4562,-98.4686,San Antonio,TX,73.0,40,129,785,Apartment,1,2,4,5,89,2020-10-30,2020-10-30
27877139,275804,23949155,29.4143,-98.4568,San Antonio,TX,70.0,49,105,613,Apartment,2,2,6,5,105,2020-10-30,2020-10-30
27877183,275804,23989181,29.4335,-98.4715,San Antonio,TX,170.0,149,133,1884,House,3,5,9,5,128,2020-10-30,2020-10-30
27971533,271349,11654041,29.4165,-98.4858,San Antonio,TX,158.0,70,123,1767,Guesthouse,1,1,3,5,55,2020-11-30,2020-11-30
27971947,271349,14519748,29.4167,-98.4704,San Antonio,TX,71.0,65,305,1805,House,2,4,6,5,145,2020-11-30,2020-11-30
27971631,271349,14717660,29.4321,-98.4759,San Antonio,TX,45.0,0,226,848,Apartment,1,1,2,5,12,2020-11-30,2020-11-30
27971741,271349,14772953,29.4201,-98.461,San Antonio,TX,72.0,60,130,780,House,4,5,10,5,140,2020-11-30,2020-11-30
27971849,271349,14883992,29.4164,-98.4744,San Antonio,TX,151.0,50,237,2982,House,3,5,9,5,305,2020-11-30,2020-11-30
27971653,271349,15435926,29.424,-98.4743,San Antonio,TX,137.0,89,86,1683,House,2,2,4,5,46,2020-11-30,2020-11-30
27971834,271349,1570838,29.4174,-98.4698,San Antonio,TX,107.0,100,48,428,Villa,2,2,4,5,91,2020-11-30,2020-11-30
27971487,271349,16206873,29.4151,-98.4702,San Antonio,TX,150.0,10,22,275,House,3,3,5,4,33,2020-11-30,2020-11-30
27971818,271349,16554393,29.4143,-98.4554,San Antonio,TX,82.0,80,181,1237,Bungalow,2,3,5,5,143,2020-11-30,2020-11-30
27971776,271349,1665135,29.4408,-98.4564,San Antonio,TX,106.0,25,235,2076,House,2,2,4,5,100,2020-11-30,2020-11-30
27971792,271349,16915735,29.442,-98.4725,San Antonio,TX,169.0,35,90,2535,Townhouse,2,3,6,5,52,2020-11-30,2020-11-30
27971769,271349,16916530,29.415,-98.4605,San Antonio,TX,71.0,60,189,1118,House,3,8,13,5,108,2020-11-30,2020-11-30
27971801,271349,17007828,29.4141,-98.4766,San Antonio,TX,135.0,50,179,2014,House,3,5,10,5,276,2020-11-30,2020-11-30
27971395,271349,17381884,29.4314,-98.4662,San Antonio,TX,144.0,80,159,1908,House,3,4,8,5,132,2020-11-30,2020-11-30
27971454,271349,17764083,29.4172,-98.4754,San Antonio,TX,126.0,80,134,1535,House,3,3,4,5,85,2020-11-30,2020-11-30
27971617,271349,17766109,29.4228,-98.471,San Antonio,TX,91.0,35,320,2427,House,1,1,4,5,316,2020-11-30,2020-11-30
27971717,271349,17963987,29.4408,-98.4669,San Antonio,TX,99.0,35,286,2360,House,2,4,4,5,171,2020-11-30,2020-11-30
