info_id,nbh_id,bed_number,count,min,max,avg,rental_income,median_value,median_night_rate,median_occupancy
1565,270807,0,11,208,1523,1029.8181818182,1695.1208333333,1221.0,71,66
1566,270807,1,53,0,2357,1371.1886792453,1660.3444444444,1392.0,72,64
1567,270807,2,54,0,3744,1454.0740740741,1664.6027777778,1369.5,94,52
1568,270807,3,40,385,8183,2231.625,2490.6940972222,2018.0,112,67
1569,270807,4,10,1183,5922,3595.9,3822.1076388889,3542.0,201,61
1570,270807,5,5,2525,8190,4994.0,4459.8944444444,4515.0,301,49
1571,270807,6,5,2195,5261,3817.0,3857.1375,3604.0,231,54
1572,270807,7,2,6563,9604,8083.5,8185.5305555556,8083.5,463,59
1573,270840,0,10,208,1438,980.5,1599.3083333333,1051.5,66,66
1574,270840,1,50,0,2357,1362.22,1655.1229166667,1385.0,71,65
1575,270840,2,44,0,3545,1451.8409090909,1651.3208333333,1391.5,92,53
1576,270840,3,36,385,8183,2283.1388888889,2519.6659722222,2018.0,113,67
1577,270840,4,10,1183,5922,3595.9,3822.1076388889,3542.0,201,61
1578,270840,5,4,4260,8190,5611.25,4917.2850694444,4997.5,346,48
1579,270840,6,4,2195,5261,3870.25,4208.6527777778,4012.5,234,58
1580,270840,7,2,6563,9604,8083.5,8185.5305555556,8083.5,463,59
1581,272750,0,10,208,1385,953.2,1611.8805555556,1033.0,66,67
1582,272750,1,43,0,2206,1352.6744186047,1606.4055555556,1363.0,72,62
1583,272750,2,43,0,4125,1385.3023255814,1449.5569444444,1262.0,93,46
1584,272750,3,30,1013,4767,2223.5666666667,2399.875,2053.5,114,63
1585,272750,4,8,1875,5741,3858.0,4075.1489583333,3637.5,212,62
1586,272750,5,3,4584,8461,6276.0,5691.1611111111,5783.0,389,49
1587,272750,6,4,2318,5109,3743.5,3367.4798611111,3773.5,231,48
1588,272750,7,1,6865,6865,6865.0,6830.6708333333,6865.0,339,66
1589,273455,0,4,450,1565,1002.25,1345.9375,997.0,88,45
1590,273455,1,31,300,2147,1226.935483871,1642.2972222222,1309.0,74,62
1591,273455,2,40,294,2797,1321.6,1685.0833333333,1203.5,85,57
1592,273455,3,38,0,8027,2192.3684210526,2255.4465277778,1983.0,121,57
1593,273455,4,9,1183,9774,4164.1111111111,4499.8416666667,4209.0,242,60
1594,273455,5,3,1742,4012,2819.3333333333,3932.875,2704.0,290,45
1595,273455,6,3,4743,6262,5284.0,4931.3527777778,4847.0,262,61
1596,273455,7,1,9486,9486,9486.0,9146.4944444444,9486.0,596,52
1597,343878,0,16,1266,3345,2393.0625,3436.8805555556,2230.0,174,62
1598,343878,1,35,550,2754,1693.4,1901.5486111111,1735.0,85,64
1599,343878,2,25,868,3267,2231.4,2776.0277777778,2275.0,113,73
1600,343878,3,9,1208,3140,2493.2222222222,2702.0138888889,2575.0,150,56
1601,343878,4,3,1852,3775,2606.3333333333,3121.7638888889,2192.0,111,83
1602,343878,5,1,5041,5041,5041.0,5187.8666666667,5041.0,241,69
1603,343878,8,1,16088,16088,16088.0,15553.5625,16088.0,985,54
